"Theta [deg]","rETotal [mV] - Freq='8GHz' Phi='-90deg'","rETotal [mV] - Freq='8GHz' Phi='-80deg'","rETotal [mV] - Freq='8GHz' Phi='-70deg'","rETotal [mV] - Freq='8GHz' Phi='-60deg'","rETotal [mV] - Freq='8GHz' Phi='-50deg'","rETotal [mV] - Freq='8GHz' Phi='-40deg'","rETotal [mV] - Freq='8GHz' Phi='-30deg'","rETotal [mV] - Freq='8GHz' Phi='-20deg'","rETotal [mV] - Freq='8GHz' Phi='-10deg'","rETotal [mV] - Freq='8GHz' Phi='0deg'","rETotal [mV] - Freq='8GHz' Phi='10deg'","rETotal [mV] - Freq='8GHz' Phi='20deg'","rETotal [mV] - Freq='8GHz' Phi='30deg'","rETotal [mV] - Freq='8GHz' Phi='40deg'","rETotal [mV] - Freq='8GHz' Phi='50deg'","rETotal [mV] - Freq='8GHz' Phi='60deg'","rETotal [mV] - Freq='8GHz' Phi='70deg'","rETotal [mV] - Freq='8GHz' Phi='80deg'","rETotal [mV] - Freq='8GHz' Phi='90deg'"
220,40.6164397216858,37.6132183487327,36.1625329317628,36.8020359745928,39.1913717999733,42.5887500233827,46.1471507993581,48.8161761290171,49.4210551078542,47.0414905017358,41.4557948140304,33.6436793434417,26.5184406558845,24.80825045626,29.7853522583508,37.6646162710952,45.8463621811499,53.5007727197026,60.2415499775808
230,52.5677835072205,51.5260003038671,51.9028497417491,53.5980639255158,55.7076307166553,57.4340867099056,58.4052689828364,58.2322133953998,56.1759521235558,51.3589947130588,43.2024836101772,32.1358393154646,21.2508266344983,19.0921235679063,27.8046156078146,39.1031620633741,50.1390867367615,60.4101691750973,69.3815276377734
240,69.8837255796075,69.9994106148679,70.8279976023756,72.1529544182794,73.002644770302,72.5437390482434,70.6129630097702,67.3582540786026,62.6438598380942,55.8989656349193,46.2666032664474,33.4419541326044,20.1444056238981,17.7711133552107,29.2039193928254,42.8936977002388,56.2565784381894,68.8181646468242,79.7312235071944
250,90.2022970929842,90.6560488021043,91.0191228422577,91.1890544219601,90.3491886782712,87.7089040303824,83.2173832445459,77.4235415990522,70.7433513706948,62.9433620969091,53.0088489811949,40.3061393474322,27.9646643812195,25.9531918776789,36.1263471669937,49.7362432163987,63.9341032051857,77.830517750555,90.201072732936
260,111.950832383009,112.249585365368,111.773107949408,110.626399825186,108.216081466717,103.841248325407,97.5146267260806,90.023662744176,82.1265788570074,73.7807649014088,63.9341799885727,52.0542578497483,41.5970111026733,39.9643456156166,47.774958902772,59.5541985786198,73.0789870226531,87.3137468121757,100.724869890667
270,135.014708582099,135.093811798936,133.829980366017,131.587744340756,128.014653912038,122.518614976386,115.116006514726,106.609404423017,97.8048891283526,88.7126288285117,78.4735270967128,67.0440929930628,58.021814344779,56.7990865031696,62.914060172602,72.5741178495613,84.6141365598103,98.4332007650299,112.44100412761
280,159.788984621955,160.056638498701,158.462380678047,155.610719386751,151.379940787714,145.299131002374,137.331118950496,128.084226686301,118.183646593648,107.682288836665,96.2190777692541,84.5771093703992,76.4740115291895,75.7576067187558,81.0705209176477,89.2545488283547,99.8054053366824,112.748831914779,126.764862576958
290,186.17551481207,187.412914154756,186.276688134079,183.481060854279,179.084240567301,172.752903663723,164.387498918784,154.318770730476,142.931825449647,130.410026491046,117.110602727586,104.780334687526,97.1923512122977,96.9853226412135,102.203331456924,109.833012344,119.402827973968,131.276018836373,144.589960803268
300,212.792931878301,215.829849438973,216.011167194595,213.95161211551,209.801346557439,203.38202508379,194.592025502052,183.563731238008,170.546349888686,155.963794278064,140.911693208897,127.914124331669,120.59141598585,120.698030764411,126.102061799765,133.833309857746,142.987620050315,153.770524276083,165.694714510699
310,236.486156257061,241.688004446021,243.68948359108,242.826272126793,239.244311772057,232.915504869104,223.824457961595,212.07908611145,197.975769558028,182.241744334774,166.493350163225,153.525047771336,146.466054695915,146.494405043284,151.773226354981,159.581657371011,168.488388580717,178.163201417947,188.202374065154
320,252.613666959139,259.415607233721,263.005626568324,263.394839180424,260.651119889268,254.845136509644,246.091657785236,234.620434173727,220.906968785873,205.91851252115,191.38153442889,179.726290775942,173.260583274735,172.790258547684,177.108240584312,184.118261646093,192.192709247208,200.458652093388,208.331959866414
330,257.015477938994,263.873845869006,268.033421326867,269.283877060338,267.589486631198,263.038825869296,255.837738319968,246.347781881193,235.175556943407,223.2902788628,212.074002909854,203.144997690993,197.864630293861,196.74014833931,199.215350937105,204.067691260803,210.018189114014,216.066931615948,221.488142807347
340,249.669101936393,254.675586086401,257.984140187639,259.353533250544,258.696226764612,256.067151594283,251.659554696875,245.812150994828,239.021892033117,231.942931441203,225.340903819759,219.977648211246,216.438729179762,214.97203003262,215.428391275753,217.340955095369,220.088041517049,223.04621591833,225.680320825653
350,236.806206714683,238.884869025345,240.354968889024,241.109230245248,241.100836139557,240.346864751422,238.927194832422,236.978876388076,234.685259796665,232.258921220001,229.918242506667,227.859608813758,226.229911848421,225.10584466467,224.485760177874,224.296357783643,224.41179321133,224.679482280909,224.946354906387
360,227.234235121036,227.234278646342,227.234297997515,227.234282578108,227.234242868597,227.23420075311,227.234172568566,227.234160612411,227.234157628529,227.234156355548,227.234155028137,227.234155976358,227.234159738158,227.234160199191,227.234147185469,227.234117360378,227.234083603791,227.234070001792,227.234092585889
